"","GSE123582_F1, sedentary ; F1, sedentary "
"12941",0.8879
"12942",1.5634
"12943",1.194
"12946",0.9759
"12950",0.2727
"12952",-2.59
"12953",-3.0983
"12954",-0.4191
"12955",-0.8137
"12958",0.7946
"12959",1.2184
"12960",-0.0057
"12962",-0.772
"12964",-0.4397
"12971",0.0758
"12972",-0.9651
"12974",0.8198
"12977",0.8329
"12978",-1.0443
"12982",0.9506
"12983",1.376
"12984",-0.4764
"12986",0.6507
"12988",-0.4911
"12995",1.0574
"13000",2.1287
"13001",-0.0088
"13002",1.114
"13003",-0.4087
"13004",-1.2075
"13006",-0.6612
"13007",-0.5425
"13008",-0.6182
"13010",-1.9313
"13011",-0.3752
"13014",-0.0998
"13016",-1.028
"13017",-0.7077
"13018",-0.2589
"13019",1.201
"13024",-0.6002
"13025",-0.9223
"13026",-1.0042
"13030",-0.367
"13032",-1.0423
"13033",-1.4163
"13036",0.463
"13038",0.2769
"13039",-0.3555
"13040",0.5424
"13041",1.09
"13043",-1.2402
"13046",-0.8851
"13047",0.3074
"13048",0.5158
"13051",-0.3364
"13052",0.4698
"13056",-0.4839
"13057",-0.1953
"13058",-0.014
"13063",0.7372
"13070",0.235
"13075",-1.1002
"13076",0.0451
"13078",1.2807
"13082",0.7825
"13087",-0.6672
"13106",-0.912
"13107",-0.8495
"13110",0.0961
"13113",0.0681
"13115",0.2891
"13116",-0.6713
"13120",-0.0067
"13121",0.7392
"13123",0.379
"13131",-0.364
"13132",-0.2581
"13134",-0.5648
"13135",-1.6675
"13136",-0.0254
"13138",-1.895
"13139",-0.0347
"13142",1.3704
"13143",1.1131
"13144",-1.1471
"13162",1.0369
"13163",-0.9074
"13164",0.1331
"13166",0.4147
"13167",0.2948
"13168",-0.2078
"13169",-1.6795
"13170",-1.4149
"13171",-0.8017
"13175",1.3673
"13176",2.0047
"13177",-0.9495
"13178",2.0119
"13179",1.7322
"13180",1.5285
"13185",-2.1042
"13190",-1.4101
"13191",-1.1974
"13193",0.4837
"13194",-1.2651
"13195",1.6472
"13196",1.1116
"13197",-0.1714
"13198",0.6698
"13200",-0.5821
"13202",-0.772
"13204",0.9551
"13205",1.0444
"13206",1.0326
"13207",2.0035
"13209",1.065
"13211",0.9591
"13214",0.7877
"13244",-0.2433
"13340",-0.9556
"13345",-0.5721
"13346",0.7712
"13347",-0.2822
"13349",0.7197
"13350",-0.2151
"13353",-0.7647
"13356",-0.735
"13358",-0.4052
"13360",-0.1913
"13361",-0.7778
"13363",0.3311
"13367",-3.4018
"13368",1.561
"13371",-1.6108
"13382",1.3106
"13383",0.9456
"13384",-0.4394
"13385",-2.0909
"13386",-0.6026
"13388",-2.3243
"13389",-0.201
"13390",-2.4744
"13392",-1.972
"13393",0.2709
"13394",-0.3612
"13395",-2.9069
"13396",-1.9077
"13397",-0.216
"13400",-1.3511
"13401",-1.7815
"13404",-0.6637
"13405",0.5809
"13406",0.5585
"13411",-0.8461
"13417",0.99
"13418",-0.1582
"13419",0.6178
"13421",2.1669
"13423",-0.574
"13424",-0.2996
"13426",0.8585
"13427",1.2928
"13430",-0.028
"13433",-0.1963
"13434",1.7962
"13435",0.8742
"13436",0.695
"13437",-0.9355
"13445",0.5757
"13446",-0.5179
"13447",-0.0869
"13448",-0.9593
"13449",-1.0939
"13476",0.3209
"13478",-0.7727
"13479",-1.071
"13480",0.8713
"13481",-0.605
"13482",1.8378
"13483",-0.2324
"13486",2.341
"13487",-0.5804
"13488",0.3284
"13489",-0.5269
"13490",0.9849
"13491",3.4366
"13492",0.709
"13494",0.9331
"13495",-0.0857
"13496",0.4926
"13497",-0.375
"13498",-0.6739
"13506",-0.7952
"13507",1.2217
"13508",-0.2147
"13511",-0.1594
"13516",0.3911
"13518",0.2163
"13521",-1.3575
"13524",0.6904
"13527",0.5059
"13528",-1.2567
"13537",1.1833
"13542",-2.0761
"13543",-1.8608
"13544",-1.6481
"13548",0.568
"13549",-1.3626
"13555",-0.0784
"13557",0.2171
"13559",-1.7836
"13560",-1.1638
"13589",-0.7208
"13590",-1.3936
"13591",3.0851
"13592",-3.0306
"13593",-2.4055
"13595",1.0847
"13599",-1.548
"13601",0.7697
"13603",1.8179
"13605",-2.0419
"13607",-0.0307
"13608",-1.6703
"13609",-0.7693
"13610",1.1194
"13611",0.386
"13612",2.5951
"13614",0.712
"13616",-1.6076
"13617",0.8125
"13618",-1.3058
"13619",-2.0149
"13626",0.3962
"13631",-1.7118
"13636",0.721
"13637",1.3293
"13638",-0.761
"13639",1.3162
"13640",1.0422
"13641",-1.1705
"13642",0.7528
"13643",0.3578
"13644",-1.3005
"13645",0.302
"13649",0.5303
"13650",-0.2581
"13653",0.1431
"13654",-0.2853
"13655",0.063
"13656",-0.7305
"13660",-0.9945
"13661",-1.1487
"13663",0.4962
"13664",0.3223
"13665",2.1947
"13666",0.4948
"13667",-1.5909
"13669",1.8826
"13680",-1.5043
"13681",-1.2471
"13682",1.9933
"13684",1.2023
"13685",-1.8971
"13688",-2.0122
"13690",0.6123
"13709",-0.9242
"13710",0.5586
"13711",-0.8862
"13712",0.9025
"13713",1.8089
"13714",-1.0373
"13716",-0.9542
"13717",0.6985
"13722",0.2836
"13723",-0.4773
"13726",0.4179
"13728",-2.0376
"13730",1.3002
"13731",0.5873
"13732",0.5316
"13733",-0.4762
"13796",-1.1783
"13797",-1.5664
"13798",1.1612
"13799",0.1905
"13800",-0.292
"13803",1.4612
"13804",-0.8274
"13805",1.3641
"13806",-0.7401
"13808",-0.465
"13809",0.4282
"13813",-2.962
"13819",-0.276
"13821",-2.1938
"13822",0.503
"13823",3.3872
"13824",0.172
"13829",-1.6296
"13830",1.4387
"13831",-0.9006
"13835",-1.4483
"13836",0.4533
"13837",0.9857
"13838",1.2197
"13839",0.6173
"13840",0.9063
"13841",-0.3964
"13842",1.7477
"13844",-1.2416
"13845",-0.8899
"13846",-0.2643
"13848",-0.1131
"13849",-1.561
"13850",-1.1599
"13852",-0.6012
"13853",0.2555
"13854",-2.3284
"13855",-0.247
"13857",-0.7423
"13858",0.4797
"13859",-0.0287
"13860",-0.8387
"13861",0.6821
"13864",-1.759
"13865",1.5647
"13866",-1.4283
"13867",1.7576
"13869",0.4099
"13870",-1.5462
"13871",-1.4033
"13872",-0.42
"13875",-2.0339
"13876",1.5119
"13877",-0.3017
"13885",0.1479
"13924",-0.6426
"13929",0.1258
"13972",-0.4662
"13982",1.2361
"13983",0.3663
"13990",1.1868
"13992",0.1969
"13996",0.8584
"13998",-0.313
"13999",-0.0443
"14000",-1.1147
"14004",-0.4189
"14007",0.7079
"14009",2.3309
"14011",1.8559
"14012",0.9363
"14013",0.0143
"14017",1.1936
"14020",0.3375
"14025",0.1205
"14026",-1.591
"14027",-0.6671
"14030",0.8278
"14038",-0.0166
"14042",-0.1596
"14043",-1.0155
"14048",-0.7151
"14049",0.8816
"14050",-0.0362
"14051",-0.0841
"14055",0.1385
"14056",-0.6495
"14057",-8e-04
"14062",2.0781
"14063",1.4449
"14064",-1.7429
"14065",-0.4031
"14066",-0.1934
"14067",-1.6131
"14068",-0.7617
"14069",1.8119
"14070",0.2935
"14071",-0.0366
"14073",-0.6938
"14077",-0.0153
"14081",-0.3291
"14082",0.1653
"14083",0.7992
"14084",0.6631
"14085",1.3186
"14086",0.2792
"14087",0.3925
"14088",2.7082
"14089",-1.6581
"14102",-0.5391
"14104",-2.1915
"14105",0.1101
"14106",-1.5659
"14107",-0.7734
"14109",-0.6408
"14113",-0.964
"14114",0.3313
"14115",0.9657
"14118",0.0579
"14119",0.0664
"14121",-0.4033
"14123",-0.1649
"14127",0.3316
"14128",-0.5744
"14129",0.0469
"14130",0.0402
"14131",-0.8624
"14132",-0.3989
"14133",0.3851
"14137",-0.28
"14148",-0.8767
"14149",-0.2226
"14151",1.8469
"14154",-0.8398
"14155",0.5868
"14156",0.2726
"14158",-0.3936
"14159",0.17
"14160",3.2213
"14161",1.7567
"14163",-1.6567
"14164",0.475
"14165",1.7506
"14166",0.9534
"14167",1.501
"14168",1.2817
"14169",1.6941
"14171",-3.1089
"14172",-1.268
"14173",-0.97
"14174",-1.284
"14176",-0.0017
"14178",1.2212
"14180",2.5188
"14181",0.9568
"14182",-1.4436
"14183",0.4886
"14184",-0.3525
"14186",0.3524
"14187",-1.3686
"14190",1.0855
"14191",1.7264
"14194",1.2519
"14198",-1.3226
"14199",-0.3227
"14200",-0.3483
"14201",-2.7442
"14202",0.7107
"14204",0.6469
"14205",0.727
"14208",-1.2377
"14211",0.7484
"14218",-1.4268
"14219",0.6886
"14221",0.1117
"14225",-1.4322
"14226",-0.4396
"14227",0.3862
"14228",-1.0052
"14229",-1.8537
"14230",-3.4539
"14231",1.3281
"14232",-1.5544
"14234",1.1397
"14235",-1.9485
"14236",0.7444
"14238",0.9565
"14239",1.5795
"14245",0.5889
"14247",0.5556
"14248",0.3146
"14251",-0.3221
"14252",-0.9536
"14254",2.2788
"14255",2.1584
"14256",0.3967
"14257",0.0369
"14260",-0.1863
"14261",1.362
"14263",1.2846
"14264",1.0827
"14265",1.7233
"14266",0.5826
"14268",0.9152
"14269",1.7363
"14270",-0.1129
"14272",0.455
"14275",-1.8934
"14276",-1.3676
"14281",-0.1166
"14282",-0.2158
"14284",-0.0167
"14287",-0.3899
"14293",-1.6815
"14296",-0.8358
"14297",-1.0211
"14299",-2.105
"14300",0.9951
"14302",-0.7049
"14312",-2.5063
"14313",0.3632
"14314",1.9005
"14325",-1.1386
"14339",0.5413
"14343",0.7719
"14344",1.854
"14345",-1.2532
"14347",-1.3209
"14348",1.2198
"14349",1.1155
"14356",-1.8215
"14357",-0.9295
"14359",1.3145
