"","GSE123582_F1, sedentary ; F1, sedentary "
"13197",-0.0249
"13198",0.0531
"13200",-0.0365
"13202",-0.0792
"13204",0.0442
"13205",0.0658
"13206",0.2308
"13207",0.0842
"13209",0.0519
"13211",0.043
"13214",0.4526
"13244",-0.0162
"13340",-0.0734
"13345",-0.1008
"13346",0.2681
"13347",-0.0157
"13349",0.1338
"13350",-0.0137
"13353",-0.0764
"13356",-0.0257
"13358",-0.032
"13360",-0.0102
"13361",-0.0685
"13363",0.1297
"13367",-0.1436
"13368",0.1882
"13371",-0.1545
"13382",0.0434
"13383",0.0687
"13384",-0.0303
"13385",-0.0805
"13386",-0.1917
"13388",-0.2024
"13389",-0.0402
"13390",-0.3454
"13392",-0.3016
"13393",0.1173
"13394",-0.1692
"13395",-0.4365
"13396",-0.4936
"13397",-0.1234
"13400",-0.1902
"13401",-0.1035
"13404",-0.1861
"13405",0.061
"13406",0.0641
"13411",-0.237
"13417",0.1883
"13418",-0.0093
"13419",0.1802
"13421",0.6897
"13423",-0.0617
"13424",-0.0254
"13426",0.0397
"13427",0.0608
"13430",-0.0012
"13433",-0.0102
"13434",0.1621
"13435",0.0594
"13436",0.14
"13437",-0.0553
"13445",0.0409
"13446",-0.0556
"13447",-0.0082
"13448",-0.1474
"13449",-0.2895
"13476",0.0153
"13478",-0.0481
"13479",-0.8955
"13480",0.0699
"13481",-0.0487
"13482",0.2972
"13483",-0.0104
"13486",0.1244
"13487",-0.2179
"13488",0.0532
"13489",-0.1473
"13490",0.7494
"13491",1.2526
"13492",0.0882
"13494",0.0509
"13495",-0.005
"13496",0.0375
"13497",-0.0213
"13498",-0.0274
"13506",-0.1591
"13507",0.3427
"13508",-0.0126
"13511",-0.0328
"13516",0.1115
"13518",0.0208
"13521",-0.1878
"13524",0.1747
"13527",0.0282
"13528",-0.059
"13537",0.2155
"13542",-0.1083
"13543",-0.1405
"13544",-0.0849
"13548",0.0237
"13549",-0.0631
"13555",-0.0098
"13557",0.0119
"13559",-0.1252
"13560",-0.1064
"13589",-0.0298
"13590",-0.2556
"13591",0.5612
"13592",-1.5729
"13593",-0.8704
"13595",0.0907
"13599",-0.754
"13601",0.188
"13603",0.486
"13605",-0.5099
"13607",-0.0024
"13608",-0.6886
"13609",-0.0557
"13610",0.0878
"13611",0.1189
"13612",0.221
"13614",0.1576
"13616",-0.2854
"13617",0.0907
"13618",-0.1107
"13619",-0.0926
"13626",0.0264
"13631",-0.0954
"13636",0.072
"13637",0.136
"13638",-0.0558
"13639",0.4014
"13640",0.1698
