"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"115",102633676,102633676,"","Gm31443","predicted gene, 31443",6.514e-05,0.0175,0.0037,0.4853,0.4853,2.3892,0.0218
"116",16324,16324,"ENSMUSG00000037035","Inhbb","inhibin beta-B",6.608e-05,0.0175,0.0038,-0.4833,-0.4833,-4.8694,1.864e-05
"117",12398,12398,"ENSMUSG00000006362","Cbfa2t3","CBFA2/RUNX1 translocation partner 3",6.706e-05,0.0176,0.0038,-0.2752,-0.2752,-3.3256,0.0019
"118",12854,12854,"ENSMUSG00000028971","Cort","cortistatin",7.216e-05,0.0183,0.0039,0.4345,0.4345,4.3541,9.278e-05
"119",51800,51800,"ENSMUSG00000026278","Bok","BCL2-related ovarian killer",7.196e-05,0.0183,0.0039,0.3112,0.3112,3.2826,0.0022
"120",11841,11841,"ENSMUSG00000062421","Arf2","ADP-ribosylation factor 2",7.137e-05,0.0183,0.0039,0.1212,0.1212,3.0808,0.0038
"121",20411,20411,"ENSMUSG00000025006","Sorbs1","sorbin and SH3 domain containing 1",7.04e-05,0.0183,0.0038,0.1207,0.1207,3.6957,7e-04
"122",56809,56809,"ENSMUSG00000028901","Gmeb1","glucocorticoid modulatory element binding protein 1",7.451e-05,0.0188,0.004,0.1015,0.1015,2.7743,0.0084
"123",243867,243867,"ENSMUSG00000050428","Fbxo46","F-box protein 46",7.559e-05,0.0189,0.004,-0.1457,-0.1457,-1.9607,0.057
"124",17191,17191,"ENSMUSG00000024513","Mbd2","methyl-CpG binding domain protein 2",7.724e-05,0.019,0.0041,0.0643,0.0643,2.3215,0.0255
"125",102640534,102640534,"","Gm36572","predicted gene, 36572",7.704e-05,0.019,0.004,0.3505,0.3505,3.0694,0.0039
