"","GSE197754_enriched environment (EE)"
"14539",-0.4486
"14544",-0.7544
"14545",1.3822
"14547",2.4526
"14548",1.9553
"14555",-1.8801
"14559",0.8769
"14560",0.6483
"14561",-0.0687
"14563",-1.4939
"14566",-2.1781
"14567",-0.0382
"14569",1.6347
"14570",-2.6149
"14571",0.5354
"14573",0.085
"14579",1.2301
"14580",0.7316
"14583",1.0957
"14584",0.5529
"14585",1.0183
"14586",-2.1461
"14587",1.3443
"14588",-1.2537
"14590",1.5361
"14593",1.9019
"14594",-0.4325
"14595",2.255
"14598",0.7718
"14599",1.0865
"14600",0.9949
"14601",1.0273
"14605",-0.7452
"14608",0.4357
"14609",-3.4207
"14611",2.34
"14612",-1.3535
"14613",1.1312
"14615",-0.1083
"14617",0.998
"14618",-0.7616
"14619",-0.8438
"14620",0.1238
"14623",-0.9752
"14628",-0.5335
"14629",1.7094
"14630",1.3484
"14632",-1.227
"14633",-1.9335
"14634",-0.279
"14635",-1.1217
"14645",-3.0421
"14651",1.057
"14652",0.7186
"14654",1.0027
"14657",0.1816
"14658",1.737
"14659",0.6526
"14660",0.0647
"14661",0.8992
"14663",-0.8768
"14664",-0.9779
"14667",1.3225
"14670",-2.613
"14672",-3.2329
"14673",-1.277
"14674",0.5576
"14675",0.1093
"14676",-1.1399
"14677",1.723
"14678",-2.3456
"14679",1.0284
"14680",-0.3881
"14681",-0.4894
"14682",0.7811
"14683",1.2644
"14686",-0.1966
"14687",0.4162
"14688",-1.3431
"14693",-2.1065
"14694",-0.2961
"14695",0.3947
"14696",1.5457
"14697",-1.3014
"14700",1.8238
"14701",0.3395
"14702",2.3951
"14704",0.3246
"14705",-0.2214
"14706",0.6134
"14707",2.4651
"14708",-0.6455
"14709",-0.7139
"14710",0.9164
"14711",1.6318
"14712",-0.2515
"14714",1.3086
"14718",-0.0859
"14719",2.2991
