"","GSE197754_enriched environment (EE)"
"14538",0.0463
"14539",-0.2628
"14544",-0.0292
"14545",0.0571
"14547",0.1344
"14548",0.1048
"14555",-0.0959
"14559",2.8376
"14560",0.0637
"14561",-0.0041
"14563",-1.0444
"14566",-0.5504
"14567",-0.0013
"14569",0.0639
"14570",-0.2366
"14571",0.0223
"14573",0.0555
"14579",0.2471
"14580",0.0298
"14583",0.0532
"14584",0.0613
"14585",0.0723
"14586",-0.1311
"14587",1.351
"14588",-0.0969
"14590",0.1263
"14593",0.1083
"14594",-0.0694
"14595",0.2394
"14598",0.1668
"14599",2.7718
"14600",0.1079
"14601",0.5841
"14605",-0.0446
"14608",0.0321
"14609",-0.13
"14611",0.6926
"14612",-0.4106
"14613",0.558
"14615",-0.0191
"14617",0.1315
"14618",-0.0741
"14619",-0.1239
"14620",0.0926
"14623",-0.057
"14628",-0.026
"14629",0.0855
"14630",0.0873
"14632",-0.2581
"14633",-0.238
"14634",-0.0391
"14635",-0.1527
"14645",-0.092
"14651",0.0536
"14652",0.2704
"14654",0.7577
"14657",0.1021
"14658",0.0744
"14659",0.4679
"14660",0.0026
"14661",0.0355
"14663",-0.3928
"14664",-0.0579
"14667",0.0678
"14670",-0.1125
"14672",-0.1592
"14673",-0.0682
"14674",0.0331
"14675",0.0301
"14676",-0.2383
"14677",0.0778
"14678",-0.0988
"14679",0.057
"14680",-0.0228
"14681",-0.0157
"14682",0.0311
"14683",0.0383
"14686",-0.1963
"14687",0.021
"14688",-0.0452
"14693",-0.1241
"14694",-0.0154
"14695",0.2299
"14696",0.1011
"14697",-0.0672
"14700",0.1321
"14701",0.0153
"14702",0.0881
"14704",0.0165
"14705",-0.0108
"14706",0.0396
"14707",0.2257
"14708",-0.0312
"14709",-0.2024
"14710",0.1815
"14711",1.0097
"14712",-0.0118
"14714",0.6403
"14718",-0.0038
