"","GSE270831_social isolation"
"25598",-0.2628
"25599",-0.2637
"25600",0.1997
"25601",0.8219
"25602",-0.2758
"25603",-0.0727
"25605",-1.1768
"25608",0.3709
"25611",-0.7904
"25613",0.1737
"25616",-0.3549
"25617",-0.2698
"25618",0.0936
"25619",0.2762
"25620",-0.1659
"25623",1.2419
"25626",-0.4519
"25628",0.0217
"25629",0.061
"25632",-0.1982
"25633",0.058
"25634",-0.7899
"25635",-0.9912
"25637",-0.2018
"25640",-0.6668
"25641",-0.7068
"25642",0.3684
"25644",-0.1519
"25645",0.6495
"25646",0.101
"25647",0.5372
"25648",0.4929
"25649",1.0779
"25650",0.0187
"25652",0.3572
"25653",-0.0066
"25654",0.0758
"25655",0.2021
"25656",0.6773
"25658",-0.2282
"25659",-0.2978
"25660",0.4749
"25661",0.3272
"25662",-0.2605
"25663",0.2706
"25664",0.8769
"25665",0.3334
"25667",0.7145
"25670",0.0418
"25672",0.269
"25673",-0.1937
"25674",0.7162
"25676",-0.0196
"25677",-0.5194
"25679",0.0813
"25680",1.1799
"25681",0.0109
"25682",-0.0275
"25683",0.5645
"25684",-0.2375
"25685",0.0767
"25686",-0.1654
"25687",0.0551
"25688",-0.0917
"25689",0.1762
"25690",-0.0872
"25692",0.2741
"25693",-0.6843
"25694",0.1846
"25695",0.1116
"25698",0.0403
"25699",1.176
"25701",-0.1691
"25702",-0.2785
"25703",-0.5237
"25704",0.0969
"25705",0.3065
"25706",0.5359
"25707",0.1137
"25708",0.5833
"25710",-0.7304
"25711",0.9468
"25713",0.4326
"25717",-0.5017
"25718",0.1393
"25722",-0.1417
"25723",-0.4379
"25724",0.071
"25726",-0.213
"25727",0.4777
"25728",-0.0642
"25730",-0.9399
"25732",-0.4336
"25734",-0.2573
"25735",1.1735
"25742",-0.1025
"25743",0.1763
"25746",-1.0028
"25747",-0.0902
"25748",0.1968
"25749",0.2369
"25752",0.1708
"25753",-0.4892
"25756",0.3564
"25757",0.0308
"26199",-0.6223
"26296",0.0085
"26760",-0.0416
"27064",0.2621
"27100",-0.1413
"27139",-0.0896
"27150",0.0548
"27256",0.1489
"28298",-0.1338
"29130",0.3746
"29131",-1.1137
"29132",-0.1949
"29134",0.2507
"29135",-0.3884
"29138",0.1397
"29139",0.0559
"29141",0.0927
"29142",0.0443
"29146",0.065
"29148",0.1184
"29151",-6.243e-05
"29152",0.018
"29153",0.0453
"29155",-0.7497
"29156",-0.1108
"29158",-0.0513
"29161",0.4323
"29162",0.1492
"29163",0.3634
"29165",0.0161
"29168",-1.047
"29169",0.0541
"29173",0.0024
"29175",-0.1486
"29177",0.0176
"29179",0.0117
"29181",0.5872
"29182",-0.131
"29183",-0.375
"29184",0.0194
"29185",-0.0617
"29186",-0.128
"29189",-0.1063
"29190",-0.2616
"29191",-0.0681
"29194",-0.259
"29195",-0.0535
"29197",-0.1631
"29199",0.1353
"29200",-0.6012
"29201",-0.0357
"29202",0.2645
"29203",0.9619
"29204",-0.3428
"29205",0.2393
"29206",-0.0748
"29209",0.0241
"29210",0.1578
"29215",-0.2752
"29216",-0.1718
"29219",-0.1283
"29220",-0.9506
"29221",-0.0836
"29224",-0.2045
"29225",-0.3737
"29228",0.2603
"29234",-0.2293
"29235",-0.4477
"29237",-0.0751
"29238",0.488
"29240",0.2032
"29241",0.4783
"29242",0.3078
"29243",-0.3261
"29244",0.8619
"29245",-0.047
"29248",-0.0725
"29251",1.4585
"29252",-0.0124
"29254",-0.0469
"29256",-9e-04
"29257",-0.1403
"29258",-0.0752
"29259",-0.7777
"29260",0.0214
"29261",0.058
"29263",-0.174
"29268",-9e-04
"29269",-0.3737
"29270",-0.1164
"29275",-0.4687
"29276",-0.1121
"29277",-0.8695
"29278",0.0411
"29279",-0.2241
"29284",-0.1521
"29285",-0.1155
"29286",-0.0845
"29287",-0.1299
"29294",-0.0979
"29300",-0.4477
"29301",-0.001
"29302",0.7989
"29307",-0.0059
"29308",-0.2551
"29316",-0.4219
"29317",-0.0778
"29318",-0.1967
"29326",0.1852
"29328",-0.1386
"29331",0.0648
"29333",-0.1199
"29335",0.3941
"29337",-0.1088
"29340",0.3929
"29344",0.3405
"29345",-0.0818
"29348",-0.5414
"29349",8e-04
"29354",0.1887
"29358",-0.2732
"29359",0.3693
"29360",-0.1519
"29361",0.1278
"29363",0.4495
"29369",-0.1035
"29372",0.2116
"29373",0.0503
"29380",0.0341
"29383",-0.0128
"29385",0.5068
"29387",-0.0653
"29388",0.5731
"29391",-0.3152
"29393",0.7677
"29394",-0.0086
"29395",0.0393
"29397",-0.9625
"29398",0.0427
"29402",-0.0661
"29403",0.8689
"29407",-0.4273
"29409",0.0626
"29410",-0.6633
"29412",0.3829
"29415",0.2575
"29416",-0.1023
"29422",0.1179
"29423",-0.2345
"29424",0.1903
"29427",-0.1571
"29430",-0.0675
"29432",0.2195
"29435",-0.1245
"29436",-0.1603
"29440",0.2387
"29441",-0.054
"29446",-0.7307
"29455",-1.2247
"29456",0.1178
"29461",0.0217
"29463",-0.0687
"29464",0.2632
"29465",-0.1276
"29467",-0.2718
"29469",0.8921
"29471",0.0086
"29473",0.7284
"29475",-0.501
"29478",0.116
"29480",0.3531
"29481",-0.299
"29482",0.8448
"29484",-0.7443
"29485",0.0584
"29492",0.2808
"29496",0.2186
"29498",-0.1339
"29499",0.18
"29500",-0.4674
"29501",0.1997
"29503",0.4919
"29504",0.4691
"29507",-0.1059
"29509",1.2786
"29510",-0.094
"29511",0.4148
"29512",0.0027
"29513",0.3693
"29516",0.0159
"29517",-0.1408
"29518",0.2142
"29520",-0.7531
"29524",0.0481
"29526",-0.162
"29527",0.4361
"29530",-0.0365
"29531",-0.4785
"29533",-0.0502
"29536",-1.1913
"29540",-0.1494
"29541",-0.3858
"29543",-0.2488
"29546",0.2293
"29547",0.444
"29552",-6e-04
"29553",0.0075
"29555",0.0248
"29556",-0.0756
"29557",-0.3323
"29558",-0.0411
"29559",0.1162
"29563",0.2331
"29566",0.1858
"29567",0.9717
"29569",0.003
"29571",-0.4543
"29575",-0.1807
"29576",-0.0013
"29577",-0.0574
"29579",0.1293
"29580",-0.1947
"29581",-1.5008
"29583",0.184
"29584",0.1897
"29585",-1.0192
"29586",-0.0443
"29588",0.1187
"29589",0.0585
"29591",0.1828
"29595",-0.0626
"29596",-0.2626
"29597",0.1092
"29598",0.2832
"29600",-0.2515
"29602",0.1477
"29609",-0.0606
"29610",0.038
"29616",0.2368
"29618",0.0881
"29619",1.2084
"29624",-0.4965
"29625",-0.3439
"29627",0.0843
"29629",0.0717
"29631",-0.249
"29633",0.2369
"29636",0.6651
"29639",0.0598
"29641",0.4777
"29642",-0.243
"29643",0.8967
"29645",0.1871
"29646",-9e-04
"29651",1.0049
"29657",0.1361
"29658",0.999
"29659",0.1754
"29660",-0.0871
"29662",-0.1932
"29665",0.0315
"29666",-0.013
"29667",0.124
"29680",0.5605
"29682",0.5771
"29685",0.1951
"29686",-0.0651
"29687",-0.1327
"29689",-0.0081
"29691",0.0673
"29692",1.3098
"29694",0.1821
"29695",0.2509
"29700",-0.2186
"29701",-0.6799
"29705",0.123
