"","GSE270831_social isolation"
"58924",-1.5408
"58927",-2.7855
"58936",0.0779
"58940",-1.6578
"58942",0.5866
"58947",-0.7224
"58949",-0.8702
"58954",-0.9173
"58958",2.2839
"58959",0.4977
"58960",-0.99
"58961",-1.1017
"58962",-0.2725
"58963",0.986
"58964",0.887
"58965",-0.9697
"58966",0.1059
"58968",1.1946
"58971",0.1483
"58976",5.4862
"58977",0.5774
"58979",1.0473
"58980",0.0372
"58982",7.2479
"59073",-1.0261
"59077",0.4693
"59086",-0.5724
"59087",-1.7412
"59102",-2.6106
"59103",1.5772
"59105",2.4066
"59106",0.6921
"59107",-0.5373
"59108",0.6707
"59109",-0.4787
"59110",-1.9457
"59113",0.1883
"59114",-0.6153
"59115",0.2307
"59116",0.8723
"59264",-1.9052
"59266",0.5348
"59268",-5.2927
"59294",0.2493
"59295",0.2567
"59296",1.8367
"59299",0.5781
"59300",-2.7257
"59301",-0.981
"59302",-0.0674
"59303",0.6877
"59304",-2.9681
"59305",-0.0711
"59312",7.4017
"59314",-2.6822
"59315",0.8129
"59316",-2.4498
"59320",0.066
"59322",2.7429
"59323",4.542
"59324",-3.9336
"59327",3.8479
"59329",6.0902
"60323",2.0407
"60325",-0.9239
"60327",0.5554
"60329",-0.9692
"60331",-0.0536
"60332",-2.4329
"60333",-1.1417
"60335",-2.7535
"60336",-2.9154
"60337",-1.4682
"60338",-1.1122
"60347",-2.2109
"60349",-0.9014
"60350",0.8536
"60351",-1.0805
"60352",0.4322
"60356",0.6871
"60357",1.8877
"60372",-1.4817
"60377",-1.4527
"60378",0.7411
"60379",2.7447
"60381",5.5196
"60382",0.9723
"60383",-0.9121
"60391",1.1942
"60395",0.7473
"60396",0.9076
"60398",-4.6169
"60414",-2.4788
"60416",-1.9891
"60417",-3.1835
"60422",0.2743
"60423",0.7441
"60427",-0.8999
"60432",1.6859
"60434",-1.9354
"60442",7.1016
"60444",-0.9782
"60445",3.8545
"60447",1.6139
"60448",-0.5548
"60449",0.0415
"60462",-1.1837
"60463",1.3036
"60464",-0.0237
"60563",4.6992
"60564",-2.2312
"60565",-1.5421
"60566",2.0736
"60567",1.4675
"60570",0.7942
"60574",-0.0037
"60575",-0.8669
"60576",-1.3918
"60582",-0.4047
"60584",2.0328
"60586",0.4821
"60587",4.4554
"60589",-0.3127
"60590",-0.0875
"60627",0.3231
"60628",0.5119
"60630",3.2918
"60662",-0.417
"60663",-9e-04
"60664",5.7205
"60665",1.7611
"60666",-7.772
"60667",0.0876
"60669",-0.7298
"60670",1.0472
"60671",-0.4137
"63835",0.2553
"63839",0.3944
"63840",2.0941
"63843",-1.2704
"63845",0.6826
"63847",-1.4127
"63848",0.1179
"63849",-0.0198
"63850",-0.9533
"63851",1.3671
"63852",-1.5167
"63864",-1.3912
"63866",-1.8412
"63878",0.4932
"63879",0.4559
"63882",-0.1947
"63883",-1.5888
"63887",-1.3732
"63888",0.1809
"63889",0.7029
"63912",2.4365
"63995",0.3867
"63997",-0.4423
"64015",-1.5118
"64016",0.1005
"64017",-0.8969
"64018",0.5649
"64022",0.2714
"64025",0.7421
"64026",0.4446
"64030",0.6468
"64032",-0.4848
"64033",7.2571
"64035",-4.2438
"64036",-6.4991
"64037",0.9109
"64040",0.7661
"64041",0.9267
"64042",0.8277
"64043",3.3216
"64044",0.8898
"64047",1.1695
"64055",0.0088
"64057",1.745
"64076",-0.7786
"64088",-0.5808
"64107",-2.4324
"64119",3.6261
"64120",0.9363
"64124",2.5235
"64133",6.3036
"64155",0.8584
"64156",-0.8279
"64169",1.258
"64171",0.0585
"64186",3.5026
"64190",-0.9896
"64192",-3.3828
"64193",0.2322
"64194",-0.5127
"64195",-2.1705
"64199",-0.8169
"64203",-2.2343
"64204",2.8421
"64206",1e-04
"64298",-1.2994
"64304",-0.0226
"64306",-1.2464
"64316",0.1176
"64317",-0.2476
"64322",-1.7124
"64345",-5.6337
"64347",3.6011
"64348",0.7649
"64349",0.1919
"64350",0.1151
"64354",4.424
"64355",4.8212
"64357",0.2509
"64360",-0.4292
"64362",-0.4404
"64364",-0.0277
"64372",-2.4638
"64387",-0.1648
"64392",0.5333
"64440",0.1081
"64443",-1.7529
"64455",-1.525
"64458",-1.867
"64459",0.9859
"64461",0.1667
"64466",-1.0087
"64467",0.3703
"64468",-1.4263
"64469",0.224
"64475",-1.5297
"64507",2.7019
"64512",0.396
"64513",-0.5542
"64515",0.8768
"64519",0.8289
"64521",0.1883
"64522",2.6371
"64523",2.2175
"64525",-2.3918
"64531",-2.5222
"64532",2.5471
"64533",-1.2904
"64535",1.6924
"64536",-0.4735
"64537",-3.6891
"64539",-1.6449
"64543",-1.9074
"64544",-1.427
"64545",1.6546
"64547",0.8141
"64549",1.2158
"64551",-0.7173
"64552",1.3568
"64553",3.5019
"64554",9.2094
"64555",0.5995
"64557",2.1749
"64561",1.9514
"64563",1.5587
"64564",-0.9477
"64566",-1.3924
"64568",-0.9896
"64569",-0.3874
