"","GSE179081_physical activity derived from voluntary running"
"13179",-1.5417
"13180",0.0118
"13185",0.1316
"13190",0.9295
"13191",-0.1207
"13193",0.0091
"13194",0.0914
"13195",0.2998
"13196",-0.2035
"13197",0.2916
"13198",0.0582
"13199",-0.0043
"13200",0.1265
"13202",0.1398
"13204",-0.0617
"13205",0.026
"13206",0.1916
"13207",4e-04
"13209",0.1213
"13211",0.1314
"13244",-0.1262
"13340",-0.0455
"13345",-0.1228
"13346",0.3059
"13347",0.0265
"13349",0.0719
"13350",0.0412
"13353",0.1847
"13356",0.1299
"13358",0.058
"13360",0.0097
"13361",0.0043
"13363",-0.0111
"13367",0.0097
"13368",-0.187
"13371",-0.1342
"13382",0.1302
"13383",-0.0118
"13384",-0.1722
"13385",-0.1012
"13386",-1.5817
"13388",-0.3623
"13389",0.6889
"13390",-0.4741
"13392",-0.5915
"13395",-0.6326
"13396",-0.1545
"13400",0.0382
"13401",-0.0656
"13404",0.504
"13405",-0.0794
"13406",-0.1145
"13411",1.0164
"13417",0.5457
"13418",-0.1507
"13419",0.3476
"13421",-0.0125
"13423",-0.0266
"13424",-0.2357
"13426",-0.0851
"13427",-0.0487
"13429",-0.2578
"13430",-0.2353
"13433",-0.1035
"13434",0.1537
"13435",-0.144
"13436",-0.4752
"13437",-0.1371
"13445",-0.083
"13446",0.2855
"13447",-0.0299
"13448",0.1938
"13449",-0.3348
"13476",0.0471
"13478",-0.2222
"13479",0.4349
"13480",0.3304
"13481",0.1075
"13482",-0.3236
"13483",-0.0487
"13486",0.1337
"13487",0.8519
"13488",0.8254
"13489",0.172
"13490",-0.2372
"13491",1.3707
"13492",-0.0243
"13494",0.2939
"13495",-0.123
"13496",-0.162
"13497",-0.2941
"13498",-0.3755
"13505",1.629
"13506",-0.1975
"13507",-2.5849
"13508",-0.0497
"13511",0.2822
"13516",0.0311
"13518",-0.2403
"13521",-0.1855
"13522",0.1563
"13524",-1.5241
"13527",-0.0387
"13528",-0.1688
"13537",0.4323
"13542",-0.0047
"13543",-0.1955
"13544",-0.1637
"13548",0.1164
"13549",-0.1322
"13555",-0.0534
"13557",0.0522
"13559",0.134
"13560",-0.2071
"13589",0.1197
"13590",-0.7666
"13591",-0.2475
"13592",-0.2913
"13593",-0.1195
"13595",-0.0252
"13599",-0.4853
"13601",-0.3935
"13602",-0.116
"13603",0.1578
"13605",-0.1778
"13607",-0.1661
"13608",-0.2477
"13609",-0.117
"13610",0.1348
"13611",1.8121
"13612",-0.0206
"13614",-0.0403
"13616",-0.8357
"13617",-0.2289
"13618",-0.1029
"13619",-0.2635
"13626",0.1249
"13628",-0.0464
"13629",0.0496
"13631",-0.081
"13636",-0.1209
"13637",-0.2403
"13638",-0.1369
"13639",0.8076
"13640",0.1491
"13641",-0.1271
"13642",-0.0944
"13643",-0.0108
"13644",0.1282
"13645",0.2366
"13649",-0.3555
"13650",-0.2959
"13653",-0.8778
"13654",-2.0369
"13655",-0.0709
"13656",0.2207
"13660",0.128
"13663",0.1633
"13664",0.125
"13665",0.0263
"13666",0.0265
"13667",-0.1699
"13669",0.0495
"13680",0.0027
"13681",0.1238
"13682",0.2165
"13684",0.2366
"13685",0.2826
"13688",-0.0839
"13690",0.0069
"13709",-0.0671
"13710",0.9076
"13711",0.1108
"13712",-0.0091
"13713",-0.1541
"13714",-0.3546
"13716",-0.3414
"13717",-0.4075
"13722",0.1912
"13723",0.2949
"13726",-0.0229
"13728",-0.1055
"13730",-0.5465
"13731",0.16
"13732",0.3392
"13733",-0.0696
"13796",0.3811
"13797",0.0256
"13799",-0.0125
"13800",0.0244
"13803",0.1126
"13804",0.444
"13805",-0.2414
"13806",0.0404
"13807",0.0528
"13808",0.0392
"13809",-0.7206
"13813",0.4161
"13819",-0.1311
"13821",-0.0089
"13822",-0.1672
"13823",-0.3021
"13824",-0.3755
"13828",1.8087
"13829",-0.0891
"13830",0.0771
"13831",-0.171
"13835",0.7956
"13836",-0.3323
"13837",0.1066
"13838",0.1172
"13839",-0.1162
"13840",-0.1659
"13841",0.2081
"13842",-0.4543
"13844",-0.2763
"13845",-0.1692
"13846",-0.0881
"13848",0.1188
"13849",0.1721
"13850",0.2431
"13852",-0.1494
"13853",0.2275
"13854",0.0273
"13855",-0.1077
"13857",0.1406
"13858",-0.1056
"13859",-0.2386
"13860",-0.127
"13861",-0.4922
"13864",0.173
"13865",0.1107
"13866",-0.2191
"13867",-0.1242
"13869",-0.3163
"13870",-0.1571
"13871",-0.2205
"13872",-0.165
"13875",0.0613
"13876",-0.3082
"13877",0.3085
"13885",0.2799
"13924",-1.0606
"13929",0.1203
"13972",-0.0839
"13982",0.0611
"13983",0.5207
"13990",9e-04
"13992",-0.2226
"13996",0.5014
"13998",-0.2914
"14000",-0.1697
"14004",0.8924
"14007",0.0207
"14009",-0.1045
"14011",-0.1213
"14012",-1.5535
"14013",-0.1708
"14017",-0.3275
"14020",-0.0358
"14025",-0.1978
"14026",-0.0772
"14027",0.0478
"14030",-0.0835
"14038",1.1465
"14042",-0.2394
"14043",-0.1037
"14048",0.0234
"14049",-0.1241
"14050",-0.1406
"14051",-0.0429
"14055",-0.0299
"14056",-0.314
"14057",-0.1183
"14061",-1.078
"14062",-0.0622
"14063",-0.8712
"14064",0.6916
"14065",-0.9905
"14066",-0.0937
"14067",1.8812
"14068",-1.8082
"14069",-0.3075
"14070",0.2277
"14071",-1.4821
"14073",-0.008
"14077",0.0361
"14081",-0.089
"14082",0.0602
"14083",0.0734
"14084",0.2484
"14085",-0.0099
"14086",0.0666
"14087",-0.3998
"14088",0.1953
