"","GSE179081_physical activity derived from voluntary running"
"13548",1.2523
"13549",-0.875
"13555",-0.2866
"13557",0.5288
"13559",0.9453
"13560",-1.2244
"13589",1.2462
"13590",-0.7956
"13591",-0.7194
"13592",-0.4032
"13593",-0.4354
"13595",-0.1519
"13599",-1.5745
"13601",-1.7298
"13602",-1.475
"13603",0.2607
"13605",-0.478
"13607",-1.076
"13608",-0.1998
"13609",-1.2446
"13610",0.7456
"13611",1.4644
"13612",-0.1226
"13614",-0.093
"13616",-2.3512
"13617",-0.8705
"13618",-0.748
"13619",-2.2248
"13626",0.8174
"13628",-0.5389
"13629",0.5175
"13631",-0.6766
"13636",-0.3225
"13637",-0.9799
"13638",-1.113
"13639",1.4697
"13640",0.4567
"13641",-0.7031
"13642",-0.345
"13643",-0.0558
"13644",0.5172
"13645",0.8532
"13649",-2.376
"13650",-1.4303
"13653",-4.3468
"13654",-3.6893
"13655",-0.7326
"13656",0.8124
"13660",0.7008
"13663",1.6985
"13664",0.8755
"13665",0.2479
"13666",0.2186
"13667",-1.3291
"13669",0.5583
"13680",0.0189
"13681",1.2098
"13682",2.0822
"13684",2.4581
"13685",0.6149
"13688",-0.4621
"13690",0.0745
"13709",-0.3078
"13710",0.8582
"13711",0.2282
"13712",-0.0483
"13713",-0.6895
"13714",-1.5774
"13716",-2.3597
"13717",-1.6383
"13722",1.8365
"13723",0.8629
"13726",-0.1855
"13728",-0.7407
"13730",-0.6563
"13731",1.2389
"13732",0.6666
"13733",-0.3072
"13796",1.9749
"13797",0.217
"13799",-0.015
"13800",0.2935
"13803",1.3367
"13804",1.1452
"13805",-1.3461
"13806",0.3803
"13807",0.464
"13808",0.2142
"13809",-2.0296
"13813",1.3116
"13819",-1.413
"13821",-0.0749
"13822",-1.7498
"13823",-1.3279
"13824",-1.7198
"13828",1.7149
"13829",-0.7303
"13830",0.497
"13831",-1.1819
"13835",1.2623
"13836",-0.6466
"13837",0.6797
"13838",1.0943
"13839",-0.5657
"13840",-1.0426
"13841",1.3067
"13842",-1.8416
"13844",-1.8053
"13845",-0.9069
"13846",-0.3823
"13848",0.7385
"13849",0.7106
"13850",1.3529
"13852",-1.0639
"13853",1.7243
"13854",0.2941
"13855",-0.7741
"13857",0.3202
"13858",-0.6055
"13859",-2.2177
"13860",-1.0515
"13861",-0.7112
"13864",1.1628
"13865",0.8022
"13866",-0.8585
"13867",-0.5876
"13869",-1.5484
"13870",-0.991
"13871",-1.7433
"13872",-1.3318
"13875",0.3701
"13876",-1.1815
"13877",2.4506
"13885",2.7618
"13924",-2.1018
"13929",0.954
"13972",-0.3382
"13982",0.1802
"13983",0.7599
"13990",0.0068
"13992",-0.9158
"13996",1.4209
"13998",-1.9473
"14000",-1.8934
"14004",4.3576
"14007",0.2233
"14009",-0.3948
"14011",-0.7827
"14012",-1.9082
"14013",-0.4521
"14017",-1.5294
"14020",-0.3719
"14025",-1.2518
"14026",-0.8183
"14027",0.1597
"14030",-0.8026
"14038",0.9146
"14042",-1.4872
"14043",-0.7865
"14048",0.1425
"14049",-0.2127
"14050",-1.3711
"14051",-0.1985
"14055",-0.2854
"14056",-1.5173
"14057",-1.1624
"14061",-0.9129
"14062",-0.2849
"14063",-1.2402
"14064",1.5306
"14065",-1.3672
"14066",-0.8732
"14067",0.8706
"14068",-2.5483
"14069",-1.3538
"14070",1.1375
"14071",-2.3402
"14073",-0.0841
"14077",0.244
"14081",-0.6975
"14082",0.1883
"14083",0.5673
"14084",2.0384
"14085",-0.0756
"14086",0.4905
