"","GSE124954_exercise"
"14172",0.0845
"14173",0.0393
"14176",-0.2637
"14178",-0.2896
"14180",-0.0851
"14181",-1.2282
"14182",0.016
"14183",-0.1794
"14184",0.1529
"14187",-0.3459
"14190",-0.0258
"14191",0.1635
"14194",0.0109
"14198",-0.0745
"14199",-0.1047
"14200",0.2811
"14201",0.1034
"14202",-0.3498
"14204",0.5353
"14205",0.3808
"14208",0.0143
"14211",-0.1165
"14218",0.0851
"14219",-0.0236
"14221",0.0426
"14225",0.1025
"14226",0.1333
"14227",-0.1028
"14228",0.0179
"14229",0.2986
"14230",-0.0967
"14231",-0.0965
"14232",-0.0034
"14234",-0.1372
"14235",0.0041
"14236",0.0216
"14238",-0.0259
"14239",0.5488
"14245",-0.0365
"14247",-0.0597
"14248",-0.0592
"14251",-0.0033
"14252",0.0906
"14254",0.1468
"14255",0.0315
"14256",-0.1021
"14257",0.2437
"14260",0.012
"14261",0.1526
"14263",0.1908
"14264",-0.2283
"14265",-0.0832
"14266",-0.1165
"14268",0.1065
"14269",-0.011
"14270",-0.0344
"14272",-0.0508
"14275",0.1748
"14276",-0.544
"14281",0.4429
"14282",0.4926
"14284",0.3365
"14287",-0.1534
"14289",0.3098
"14293",-0.942
"14296",0.2616
"14297",0.194
"14299",0.2044
"14300",-0.0457
"14302",0.2114
"14312",0.1074
"14313",0.1222
"14314",0.033
"14319",0.0392
"14325",-0.0802
"14339",-0.0571
"14344",0.1098
"14345",0.0504
"14347",0.2272
"14348",-0.1556
"14349",0.0452
"14356",-0.0594
"14357",0.2063
"14359",-0.0829
"14360",0.1149
"14362",0.1275
"14365",-0.0744
"14366",-0.1705
"14367",0.2634
"14368",0.1602
"14369",0.1919
"14370",-0.2226
"14371",-0.1582
"14373",-0.1239
"14375",-0.061
"14376",-0.0043
"14381",-0.1369
"14385",0.0805
"14387",0.1275
"14388",-0.1076
"14389",0.1066
"14390",-0.076
"14391",0.0585
"14394",-0.1178
"14395",-0.091
"14396",0.0949
"14397",-0.0647
"14400",-0.1848
"14401",-0.0964
"14402",0.0296
"14403",0.0392
"14405",-0.1321
"14406",-0.093
"14407",0.0323
"14408",-0.3409
"14409",-0.9442
"14411",0.1556
"14412",-0.1508
"14415",0.0184
"14417",5e-04
"14419",-1.0763
"14420",0.0558
"14421",0.1099
"14422",-0.3251
"14423",-0.0287
"14425",0.1595
"14426",-0.13
"14427",0.0944
"14428",0.2647
"14429",1.2444
"14430",-0.0577
"14431",-0.1517
"14432",0.0594
"14433",-0.1666
"14447",-0.0064
"14450",0.0815
"14451",-0.0023
"14453",-0.0509
"14455",-0.0874
"14456",0.0967
"14457",0.0887
"14461",0.2434
"14466",0.0164
"14467",-0.0578
"14468",-0.4953
"14469",0.2183
"14470",-0.0979
"14472",-0.4279
"14479",-0.0705
"14489",0.0232
"14527",-0.4629
"14528",-0.0167
"14533",-0.0044
"14534",0.1889
"14536",-0.1065
"14537",-0.0889
"14538",-0.156
"14539",-0.5408
"14544",-0.1483
"14545",-0.0451
"14547",-0.0539
"14548",-0.0486
"14555",0.0652
"14559",-1.2154
"14560",-0.1276
"14561",0.0235
"14563",-0.7892
"14566",0.39
"14567",-0.021
"14569",-0.0227
"14570",-0.104
"14571",0.0328
"14573",-0.1239
"14579",-0.0961
"14580",-0.1638
"14583",-0.0254
"14584",-0.0758
"14585",-0.1673
"14586",0.0461
"14588",0.0417
"14590",-0.1378
"14593",-0.0407
"14594",-0.117
"14595",0.0787
"14598",0.4173
"14600",-0.0278
"14601",-0.3086
"14605",-0.0911
"14608",0.1787
"14609",-0.1455
"14611",-0.4777
"14612",0.0459
"14613",0.2692
"14615",0.2692
"14617",-0.0224
"14618",-0.3616
"14619",-0.1313
"14620",0.8765
"14623",0.0546
"14626",-0.8979
"14628",0.0631
"14629",-0.0147
"14630",0.0278
"14632",-0.1886
"14633",-0.2857
"14634",-0.3755
"14635",0.0569
"14645",-0.07
"14651",-0.0166
"14652",0.2078
"14654",-0.2008
"14657",-0.2265
"14658",-0.0413
"14659",0.244
"14660",-0.0349
"14661",0.0843
"14663",0.4763
"14664",0.0402
"14667",-0.0462
"14670",0.2639
"14672",0.1311
"14673",0.0818
"14674",0.0128
"14675",-0.096
"14676",-0.1515
"14677",-0.018
"14678",0.062
"14679",-0.0651
"14680",0.0222
"14681",-0.013
"14682",0.06
"14683",-0.0124
"14686",0.68
"14687",0.0816
"14688",0.0895
"14693",0.108
"14694",-0.0073
"14696",-0.0123
"14697",0.0328
"14700",-0.0326
"14701",-0.0362
"14702",-0.0592
"14704",-0.1661
"14705",-0.0432
"14706",-0.1494
"14707",-0.0584
"14708",-0.0116
"14709",-0.2542
"14710",0.3125
"14711",-0.807
"14712",0.0053
"14714",-0.6912
"14718",-0.0258
"14719",0.0536
"14723",0.2239
"14724",0.1047
"14725",-0.0799
"14726",0.0178
"14728",0.3866
"14729",-0.0167
"14731",0.0759
"14732",0.0325
"14733",0.2306
"14734",-0.5983
"14735",0.0174
"14738",-0.1664
"14739",0.2036
"14744",0.8086
"14745",-0.2442
"14747",0.368
"14748",-0.163
"14751",-0.025
"14755",-0.0038
"14756",0.0289
"14758",0.0308
"14760",0.0977
"14761",0.2446
"14763",-0.2006
"14764",-0.0778
"14765",-0.664
"14766",-0.0342
