"","GSE184615_enrichment"
"12891",0.1574
"12892",0.2347
"12894",-0.3656
"12895",1.0652
"12896",0.4133
"12902",2.1333
"12903",-1.6052
"12904",0.6201
"12905",-0.436
"12908",-0.1745
"12909",-1.4259
"12912",-0.4502
"12913",0.2026
"12914",0.4631
"12915",1.6661
"12916",0.9251
"12918",1.1751
"12919",-1.8844
"12921",-0.195
"12922",1.4261
"12925",-0.1423
"12927",-0.9867
"12928",-0.0133
"12929",-1.0897
"12931",-0.8003
"12933",1.3512
"12934",1.1146
"12936",-0.7065
"12937",1.087
"12939",0.0455
"12941",1.731
"12942",-2.6206
"12943",0.0621
"12946",1.5995
"12950",3.2505
"12952",-2.4566
"12953",-2.1003
"12955",-0.0677
"12959",0.4543
"12960",1.3497
"12962",0.7262
"12964",-0.9243
"12971",1.8983
"12972",-0.1809
"12974",0.0089
"12977",-1.3737
"12978",2.0044
"12982",2.317
"12983",1.0703
"12984",1.1149
"12986",0.4125
"12988",-0.5193
"12995",0.1442
"13000",-1.9751
"13001",-1.7775
"13002",-1.251
"13003",0.7646
"13004",2.5074
"13006",-0.6054
"13007",-1.2117
"13008",1.6935
"13010",-1.1682
"13014",0.7946
"13016",-2.263
"13017",0.3839
"13018",-1.2467
"13019",-0.2044
"13024",2.5093
"13025",0.7889
"13026",-0.5323
"13030",-0.3159
"13032",0.0475
"13033",0.2531
"13036",1.293
"13038",1.9969
"13039",1.3365
"13040",-2.5992
"13043",-1.1604
"13046",-0.0241
"13047",1.7005
"13048",1.4028
"13051",0.0145
"13052",5.1252
"13056",2.4431
"13057",-0.9085
"13058",1.8656
"13063",0.7601
"13070",0.6843
"13076",0.5623
"13078",0.7011
"13082",1.6178
"13107",0.7434
"13110",1.2808
"13113",-0.3558
"13115",-0.0495
"13116",1.0402
"13121",2.3659
"13123",-2.0462
"13131",-0.793
"13132",2.4609
"13134",-1.0984
"13135",1.1986
"13136",1.8003
"13138",2.0602
"13139",-2.6295
"13143",1.4026
"13144",1.5196
"13163",-0.5733
"13164",0.3227
"13166",-1.0534
"13167",1.5784
"13168",0.0475
"13169",1.0516
"13170",-1.3201
"13171",1.0553
"13175",3.368
"13176",1.3699
"13177",-1.5235
"13178",-0.1178
"13179",4.3725
"13180",0.3492
"13185",-0.5932
"13190",-0.6822
"13191",-0.538
"13193",4.5001
"13194",0.4987
"13195",1.4851
"13196",1.248
"13197",1.9599
"13198",-1.4119
"13199",-2.6623
"13200",0.0767
"13202",-0.9174
"13204",-0.101
"13205",-0.1508
"13206",1.833
"13207",-0.6231
"13209",-0.01
"13211",0.3725
"13244",1.1981
"13340",-2.2504
"13345",-0.3889
"13346",0.826
"13347",0.0497
"13349",0.0711
"13350",-1.0286
"13353",1.354
"13356",0.4872
"13358",1.8035
"13360",2.316
"13361",-0.9683
"13363",1.2018
"13367",-0.1689
"13368",-2.0678
"13371",0.6172
"13382",0.7396
"13383",0.4442
"13384",-0.0993
"13385",0.5107
"13386",2.8466
"13388",-1.8388
"13389",1.3911
"13390",-0.6127
"13392",-0.0386
"13395",0.0687
"13396",-0.0439
"13400",0.7146
"13401",1.2773
"13405",0.073
"13406",0.8542
"13411",0.3679
"13417",-0.8769
"13418",-1.9637
"13419",0.1649
"13423",1.0547
"13426",-0.2502
"13427",0.6337
"13429",-0.647
"13430",0.0107
"13433",1.4083
