"","GSE184615_enrichment"
"14904",-0.0846
"14910",0.337
"14911",0.0079
"14912",-0.0406
"14919",-0.1102
"14923",-0.112
"14924",0.0312
"14933",-0.1262
"14934",0.752
"14936",0.1508
"14950",0.0572
"14955",-0.8607
"14957",-0.1368
"14958",0.2742
"14960",-0.4317
"14961",0.301
"14962",0.016
"14964",-0.2692
"14969",0.0767
"14972",-0.2999
"14976",-0.0076
"14977",-0.1683
"14979",-0.1346
"14991",0.0416
"14998",-0.0538
"14999",-0.6369
"15000",0.6436
"15001",-0.3127
"15002",-0.9048
"15006",1.8929
"15013",1.1019
"15015",-0.2746
"15024",-1.1845
"15039",-0.1838
"15040",0.0034
"15042",-0.0861
"15064",-0.3208
"15078",0.0876
"15081",0.0458
"15107",-0.0359
"15108",0.1209
"15114",0.3019
