"","GSE1833_environmental enrichment"
"171070",-1.8113
"171071",1.8645
"171072",-0.7716
"171073",1.2448
"171074",1.2276
"171075",0.0889
"171078",0.7734
"171079",-1.8975
"171080",-1.3653
"171081",0.409
"171082",0.2638
"171083",-0.2741
"171084",-1.3982
"171085",-1.4579
"171086",-0.5037
"171087",0.5122
"171088",1.1967
"171090",-1.3004
"171091",-0.0012
"171092",-1.23725
"171093",-0.85415
"171096",2.3085
"171097",-0.3317
"171099",-0.36245
"171100",-0.062
"171101",-1.707
"171102",-1.3999
"171103",0.7157
"171104",-0.8027
"171105",-0.0592
"171106",-1.6298
"171107",0.6866
"171108",0.1127
"171109",-0.0605
"171111",-1.5444
"171112",0.8875
"171113",-0.13985
"171114",-0.2061
"171115",1.0552
"171116",0.1358
"171118",-0.7981
"171119",-1.8268
"171120",1.3399
"171121",1.1869
"171122",0.741
"171123",-1.1529
"171124",0.6412
"171125",-0.1501
"171126",0.6645
"171128",-0.6904
"171129",0.7731
"171131",-0.474
"171133",-0.3699
"171134",0.6583
"171135",-0.2969
"171136",-0.1128
"171137",-0.0538
"171138",-0.35535
"171139",0.936
"171140",1.8809
"171142",0.2266
"171143",-0.1041
"171144",0.35095
"171145",0.486
"171146",-0.915
"171147",-0.0513
"171148",-0.8164
"171149",-0.2105
"171151",-1.232
"171152",-1.5533
"171154",-0.8861
"171155",0.936
"171158",-1.0444
"171159",-0.7796
"171160",0.2763
"171161",0.5071
"171162",-0.2495
"171163",-0.1107
"171164",1.2335
"171178",-0.5604
"171287",0.6719
"171290",-0.0726
"171293",0.1332
"171296",-0.433
"171297",-0.86015
"171302",1.098
"171305",0.142
"171329",0.6713
"171341",1.42
"171347",-0.3077
"171350",0.6423
"171352",1.2742
"171356",-0.3969
"171358",-0.1678
"171365",0.0644
"171366",-1.6965
"171369",0.7305
"171371",-0.4452
"171373",-0.5113
"171375",0.3485
"171378",-1.2612
"171379",0.454066666666667
"171380",-0.1957
"171381",0.5314
"171384",-0.6384
"171385",0.9598
"171386",-0.4091
"171387",0.3775
"171390",1.0569
"171393",-0.5862
"171394",0.8835
"171396",-0.8966
"171397",0.7468
"171398",-0.4883
"171400",1.5054
"171402",1.0369
"171403",-0.2449
"171406",0.8045
"171407",-1.9335
"171408",0.1432
"171409",-0.7072
