"","GSE1833_environmental enrichment"
"24254",0.0332
"24256",-0.0254
"24257",-0.0647
"24258",0.0121
"24259",0.1039
"24260",0.057
"24261",-0.0027
"24264",-0.0815
"24265",0.1055
"24267",0.0562
"24268",0.00253333333333333
"24269",0.02
"24271",-0.0449
"24273",-0.048
"24277",1e-04
"24278",0.0233
"24282",-0.036
"24283",0.0285
"24284",-0.0437
"24291",0.004
"24296",0.0616
"24297",0.0553
"24298",-0.0156
"24299",0.0415
"24303",-0.1198
"24307",-0.0151
"24309",-0.0307
"24310",-0.0104
"24311",-0.0076
"24312",0.0104
"24314",-0.0398
"24315",0.00535
"24316",-0.0146
"24318",-0.0618
"24323",0.0356
"24324",-0.0138
"24326",0.0607
"24329",0.0787
"24331",0.0033
"24332",0.0123
"24334",-0.0807
"24335",0.0133
"24336",0.02715
"24337",-0.0685
"24346",-0.1024
"24356",0.0478
"24360",0.0058
"24361",0.011
"24362",-0.0312
"24366",-0.0411
"24367",0.0475
"24368",-0.0384
"24370",-0.0633
"24373",0.000400000000000001
"24375",0.0698
"24377",0.0074
"24379",-0.0618
"24380",0.2864
"24384",-0.0211
"24385",0.0017
"24387",0.147
"24388",0.0196
"24390",-0.00255
"24391",0.0621
"24392",0.11805
"24397",-0.08115
"24398",0.0227333333333333
"24399",-0.0605
"24400",-0.0321
"24401",0.0414
"24404",0.0074
"24406",0.1129
"24407",-0.1049
"24408",0.00635
"24409",0.0689
"24410",0.0709
"24411",-0.017
"24412",0.01265
"24413",-0.0401
"24414",-0.0228
"24415",-0.0575
"24416",-0.0418
"24417",0.0491
"24418",0.0146
"24419",-0.01405
"24420",0.0115
"24421",0.0206
"24423",0.0228
"24424",-0.1074
"24426",0.0293
"24434",-0.0033
"24437",0.174
"24438",0.0255
"24439",-0.0203
"24443",-0.0148
"24446",-0.0617
"24448",-0.0921
"24450",-0.0815
"24451",1e-04
"24459",0.066
"24460",-0.002
"24464",0.1091
"24465",0.0117
"24470",-0.0159
"24471",0.1501
"24472",0.2186
"24473",0.0843
"24476",0.1054
"24477",-0.0267
"24479",0.0845
"24481",-0.0299
"24482",0.0838
"24483",-0.10575
"24484",-0.04575
"24493",0.02025
"24494",0.086
"24495",0.0836
"24497",-0.0295
"24498",0.0191
"24499",-0.1703
"24500",-0.0376
"24503",0.0094
"24504",-0.1088
"24505",-0.0543
"24506",0.0356
"24508",0.05
"24511",0.02535
"24513",-0.0058
"24514",-0.0883
"24516",0.0513666666666667
"24517",0.2445
"24518",0.2766
"24520",-0.0921
"24521",0.0035
"24522",0.0042
"24523",6e-04
"24528",0.0513
"24530",0.0368
"24534",0.01
"24536",0.0344333333333333
"24538",0.0266
"24546",0.0699
"24547",0.0601
"24548",9e-04
"24551",-0.04075
