"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"5400","1375669_at","293702","ENSRNOG00000021153","Fkbp2","FKBP prolyl isomerase 2",0.4787,0.9235,0.5183,-0.001,-0.001,-0.0111,0.9913
"5401","1369401_at","84608","ENSRNOG00000030894","Slco1a6","solute carrier organic anion transporter family, member 1a6",0.4791,0.9235,0.5188,-0.0535,-0.0535,-1.2849,0.2217
"5402","1371305_at","26962","ENSRNOG00000068956","Rpl8","ribosomal protein L8",0.4794,0.9235,0.5189,0.0218,0.0218,0.4589,0.6541
"5403","1398792_at","117263","ENSRNOG00000003951","Psmc1","proteasome 26S subunit, ATPase 1",0.4793,0.9235,0.5189,-0.0497,-0.0497,-1.0067,0.3328
"5404","1388569_at","287526","ENSRNOG00000003172","Serpinf1","serpin family F member 1",0.4794,0.9235,0.5191,0.0173,0.0173,0.1542,0.8799
"5405","1388896_at","310960","ENSRNOG00000011294","Usp33","ubiquitin specific peptidase 33",0.4794,0.9235,0.519,-0.0725,-0.0725,-0.798,0.4395
"5406","1388977_at","310773","ENSRNOG00000017723","Cept1","choline/ethanolamine phosphotransferase 1",0.4795,0.9235,0.5192,-0.008,-0.008,-0.1333,0.896
"5407","1369183_at","29513","ENSRNOG00000000515","Mapk13","mitogen activated protein kinase 13",0.4806,0.9238,0.5198,-0.047,-0.047,-0.8383,0.4173
"5408","1376883_at","295663","ENSRNOG00000007979","Phospho2","phosphatase, orphan 2",0.4802,0.9238,0.5196,-0.0158,-0.0158,-0.2416,0.8129
"5409","1388278_at","24963","ENSRNOG00000047966","Hspa1l","heat shock protein family A (Hsp70) member 1 like",0.4807,0.9238,0.5202,-0.0202,-0.0202,-0.4085,0.6897
"5410","1374854_at","305963","ENSRNOG00000012012","Pinx1","PIN2/TERF1 interacting, telomerase inhibitor 1",0.481,0.9238,0.5206,0.0131,0.0131,0.2151,0.8331
"5411","1387255_at","25120","ENSRNOG00000011182","Aanat","aralkylamine N-acetyltransferase",0.4813,0.9238,0.5209,0.0061,0.0061,0.1303,0.8984
"5412","1382932_at","361419","ENSRNOG00000015590","Dnaaf1","dynein, axonemal, assembly factor 1",0.4808,0.9238,0.5203,-0.0354,-0.0354,-0.6565,0.5232
"5413","1388780_at","307861","ENSRNOG00000010712","Terf2ip","TERF2 interacting protein",0.4811,0.9238,0.5208,0.0053,0.0053,0.0889,0.9306
"5414","1369108_at","246334","ENSRNOG00000001924","Tp63","tumor protein p63",0.4804,0.9238,0.5197,-0.0623,-0.0623,-1.3739,0.1932
"5415","1369573_at","54270","ENSRNOG00000024785","Mcpt4","mast cell protease 4",0.4813,0.9238,0.521,-0.0284,-0.0284,-0.5581,0.5865
"5416","1371386_at","291019","ENSRNOG00000016779","Fam120a","family with sequence similarity 120 member A",0.4807,0.9238,0.5201,-0.0591,-0.0591,-1.0896,0.2961
"5417","1375029_at","288447","ENSRNOG00000000909","Uspl1","ubiquitin specific peptidase like 1",0.4807,0.9238,0.5201,0.0261,0.0261,0.5678,0.5801
"5418","1368734_at","54240","ENSRNOG00000019527","Chrnd","cholinergic receptor nicotinic delta subunit",0.4814,0.9238,0.5211,-0.0102,-0.0102,-0.1921,0.8507
"5419","1387058_at","29510","ENSRNOG00000002425","Pctp","phosphatidylcholine transfer protein",0.4801,0.9238,0.5195,0.0349,0.0349,0.5628,0.5833
"5420","1368691_at","29628","ENSRNOG00000007682","Gria3","glutamate ionotropic receptor AMPA type subunit 3",0.481,0.9238,0.5206,-0.0659,-0.0659,-0.4818,0.6382
"5421","1377698_at","171369","ENSRNOG00000018488","Cd40","CD40 molecule",0.481,0.9238,0.5205,0.0398,0.0398,0.7305,0.4783
