,ExperimentID,ResultSetIDs,ContrastIDs,ExperimentIDs,FactorCategory,ExperimentalFactors,BaselineFactors,Subsetted,SubsetBy,Include,WrongBaseline,ResultsNotRegionSpecific,ReAnalyze
98,GSE111270,523257,185743,21100,treatment,enriched environment,reference substance role,FALSE,NA,,,,
99,GSE111270,523256,185741,21100,developmental stage,24 month  late adult stage,5 month  prime adult stage,FALSE,NA,,,,
100,GSE111270,523255,185741_185743,21100,"developmental stage,treatment",24 month  late adult stage; enriched environment,,FALSE,NA,,,,
101,GSE111215,534679,185751,21101,developmental stage,24 month  late adult stage,5 month  prime adult stage,FALSE,NA,,,,
102,GSE111215,534680,185753,21101,treatment,enriched environment,reference substance role,FALSE,NA,,,,
103,GSE111215,534681,185751_185753,21101,"developmental stage,treatment",24 month  late adult stage; enriched environment,5 month  prime adult stage; reference substance role,FALSE,NA,,,,
104,GSE184615,533250,183234_183236,20373,"treatment,treatment",ethanol delivered at dose 2 x 2.5 g/kg; enrichment,reference substance role; reference substance role,FALSE,NA,,,,
105,GSE184615,533251,183234,20373,treatment,ethanol delivered at dose 2 x 2.5 g/kg,reference substance role,FALSE,NA,,,,
106,GSE184615,533252,183236,20373,treatment,enrichment,reference substance role,FALSE,NA,,,,
107,GSE179081,522200,183728_183730,20567,"genotype,treatment",Homozygous negative  Btg1 [mouse] BTG anti-proliferation factor 1; physical activity derived from voluntary running,,FALSE,NA,,,,
108,GSE179081,522199,183730,20567,treatment,physical activity derived from voluntary running,reference subject role,FALSE,NA,,,,
109,GSE179081,522198,183728,20567,genotype,Homozygous negative  Btg1 [mouse] BTG anti-proliferation factor 1,wild type genotype,FALSE,NA,,,,
110,GSE142678,520521,171381,17592,organism part,dentate gyrus of hippocampal formation,immature neurons in dentate gyrus,FALSE,NA,,,,
111,GSE142678,520520,171380,17592,treatment,sedentary,running ,FALSE,NA,,,,
112,GSE142678,520519,171380_171381,17592,"organism part,treatment",sedentary; dentate gyrus of hippocampal formation,,FALSE,NA,,,,
113,GSE150812,520024,170622_170626,17351,"phenotype,treatment",enriched environment; resilient,reference subject role; reference subject role,FALSE,NA,,,,
114,GSE150812,520024,170622_170625,17351,"phenotype,treatment",enriched environment; susceptible,reference subject role; reference subject role,FALSE,NA,,,,
115,GSE150812,520023,170622,17351,treatment,enriched environment,reference subject role,FALSE,NA,,,,
116,GSE150812,520022,170626,17351,phenotype,resilient,reference subject role,FALSE,NA,,,,
117,GSE150812,520022,170625,17351,phenotype,susceptible,reference subject role,FALSE,NA,,,,
118,GSE42904,480344,140986,12334,treatment,valpromide,reference substance role,TRUE,forebrain,,,,
119,GSE42904,480344,140985,12334,treatment,valproic acid,reference substance role,TRUE,forebrain,,,,
120,GSE42904,480346,140986,12334,treatment,valpromide,reference substance role,TRUE,cerebral cortex,,,,
121,GSE42904,480346,140985,12334,treatment,valproic acid,reference substance role,TRUE,cerebral cortex,,,,
122,GSE42904,480345,140988,12334,treatment,running wheel,reference subject role,TRUE,cerebral cortex,,,,
123,GSE42904,480348,140986,12334,treatment,valpromide,reference substance role,TRUE,telencephalon,,,,
124,GSE42904,480348,140985,12334,treatment,valproic acid,reference substance role,TRUE,telencephalon,,,,
125,GSE42904,480351,140986,12334,treatment,valpromide,reference substance role,TRUE,Ammon's horn,,,,
126,GSE42904,480351,140985,12334,treatment,valproic acid,reference substance role,TRUE,Ammon's horn,,,,
127,GSE42904,480350,140988,12334,treatment,running wheel,reference subject role,TRUE,Ammon's horn,,,,
128,GSE42904,480349,140979,12334,developmental stage,12 week,P84,TRUE,Ammon's horn,,,,
129,GSE42904,480349,140976,12334,developmental stage,E14.5,P84,TRUE,Ammon's horn,,,,
130,GSE42904,480349,140977,12334,developmental stage,E18.5,P84,TRUE,Ammon's horn,,,,
131,GSE39697,548451,100980,8039,organism part,dentate gyrus granule cell layer inner blade,dentate gyrus granule cell layer outer blade,FALSE,NA,,,,
132,GSE39697,548452,100978_100980,8039,"organism part,timepoint",physical activity delivered for duration 4 d; dentate gyrus granule cell layer inner blade,,FALSE,NA,,,,
133,GSE39697,548452,100979_100980,8039,"organism part,timepoint",physical activity delivered for duration 30 d; dentate gyrus granule cell layer inner blade,,FALSE,NA,,,,
134,GSE39697,548453,100978,8039,timepoint,physical activity delivered for duration 4 d,reference subject role,FALSE,NA,,,,
135,GSE39697,548453,100979,8039,timepoint,physical activity delivered for duration 30 d,reference subject role,FALSE,NA,,,,
136,GSE1833,535140,17283,862,environmental history,environmental enrichment,reference subject role,FALSE,NA,,,,
137,GSE1833,535141,17287,862,treatment,kainic acid,reference substance role,FALSE,NA,,,,
138,GSE1833,535142,17283_17287,862,"environmental history,treatment",environmental enrichment; kainic acid,reference subject role; reference substance role,FALSE,NA,,,,
