"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_166916_coefficient","contrast_166916_log2fc","contrast_166916_tstat","contrast_166916_pvalue","contrast_166917_coefficient","contrast_166917_log2fc","contrast_166917_tstat","contrast_166917_pvalue","contrast_166919_coefficient","contrast_166919_log2fc","contrast_166919_tstat","contrast_166919_pvalue"
"71",101056205,101056205,"ENSMUSG00000108976","Gm29797","predicted gene, 29797",2e-04,0.0519,0.0035,0.4542,0.4542,2.3318,0.0285,0.7864,0.7864,4.2032,3e-04,-0.0543,-0.0543,-0.2372,0.8146
"72",20312,20312,"ENSMUSG00000031778","Cx3cl1","C-X3-C motif chemokine ligand 1",2e-04,0.0519,0.0033,0.0999,0.0999,3.3257,0.0029,0.1091,0.1091,3.7181,0.0011,-0.0196,-0.0196,-0.5773,0.5692
"73",80288,80288,"ENSMUSG00000063382","Bcl9l","B cell CLL/lymphoma 9-like",2e-04,0.0524,0.0035,0.0786,0.0786,1.879,0.0725,-0.0391,-0.0391,-0.9532,0.3501,-0.1454,-0.1454,-3.0693,0.0053
"74",78309,78309,"ENSMUSG00000040327","Cul9","cullin 9",2e-04,0.0532,0.0036,0.0567,0.0567,1.5518,0.1339,-0.0836,-0.0836,-2.3341,0.0284,-0.1061,-0.1061,-2.5688,0.0169
"75",320027,320027,"ENSMUSG00000036264","Fstl4","follistatin-like 4",2e-04,0.0534,0.0037,0.2396,0.2396,3.368,0.0026,0.3665,0.3665,5.2837,2.087e-05,0.164,0.164,2.0525,0.0513
"76",66849,66849,"ENSMUSG00000047714","Ppp1r2","protein phosphatase 1, regulatory inhibitor subunit 2",2e-04,0.0534,0.0037,-0.0642,-0.0642,-2.217,0.0364,-0.0514,-0.0514,-1.8151,0.0821,0.0802,0.0802,2.4651,0.0213
"77",230379,230379,"ENSMUSG00000038007","Acer2","alkaline ceramidase 2",2e-04,0.0534,0.0036,-0.1318,-0.1318,-0.987,0.3336,0.4156,0.4156,3.3253,0.0029,0.2601,0.2601,1.8289,0.08
"78",12452,12452,"ENSMUSG00000029385","Ccng2","cyclin G2",2e-04,0.0546,0.0038,0.0603,0.0603,1.5252,0.1404,0.1454,0.1454,3.7674,0.001,-0.0456,-0.0456,-1.0228,0.3167
"79",233033,233033,"ENSMUSG00000109336","Samd4b","sterile alpha motif domain containing 4B",2e-04,0.0553,0.0038,0.1483,0.1483,3.5943,0.0015,0.1144,0.1144,2.8329,0.0092,-0.0427,-0.0427,-0.9148,0.3695
"80",13875,13875,"ENSMUSG00000040857","Erf","Ets2 repressor factor",2e-04,0.056,0.0039,0.0889,0.0889,1.4139,0.1703,-0.1737,-0.1737,-2.794,0.0101,-0.1453,-0.1453,-2.0339,0.0533
