"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_207422_coefficient","contrast_207422_log2fc","contrast_207422_tstat","contrast_207422_pvalue"
"77",66961,66961,"ENSMUSG00000092274","Neat1","nuclear paraspeckle assembly transcript 1 (non-protein coding)",4e-04,0.1133,0.0037,-0.2829,-0.2829,-4.4992,4e-04
"78",20181,20181,"ENSMUSG00000015846","Rxra","retinoid X receptor alpha",4e-04,0.1149,0.0038,-0.2782,-0.2782,-4.4802,4e-04
"79",16524,16524,"ENSMUSG00000038026","Kcnj9","potassium inwardly-rectifying channel, subfamily J, member 9",5e-04,0.1157,0.0039,-0.2845,-0.2845,-4.4666,5e-04
"80",18164,18164,"ENSMUSG00000025582","Nptx1","neuronal pentraxin 1",5e-04,0.1157,0.0039,-0.1942,-0.1942,-4.4648,5e-04
"81",245446,245446,"ENSMUSG00000046699","Slitrk4","SLIT and NTRK-like family, member 4",5e-04,0.1161,0.004,0.2436,0.2436,4.4473,5e-04
"82",17304,17304,"ENSMUSG00000030605","Mfge8","milk fat globule EGF and factor V/VIII domain containing",5e-04,0.1161,0.0041,-0.2081,-0.2081,-4.4454,5e-04
"83",76580,76580,"ENSMUSG00000029060","Mib2","mindbomb E3 ubiquitin protein ligase 2",5e-04,0.1161,0.004,-0.2275,-0.2275,-4.4529,5e-04
"84",14009,14009,"ENSMUSG00000004151","Etv1","ets variant 1",5e-04,0.1178,0.0041,0.178,0.178,4.4323,5e-04
"85",50884,50884,"ENSMUSG00000027002","Nckap1","NCK-associated protein 1",5e-04,0.1195,0.0042,0.1769,0.1769,4.4192,5e-04
"86",68272,68272,"ENSMUSG00000029701","Rbm28","RNA binding motif protein 28",5e-04,0.1216,0.0042,-0.2933,-0.2933,-4.4051,5e-04
"87",238123,238123,"ENSMUSG00000035933","Cog5","component of oligomeric golgi complex 5",5e-04,0.1284,0.0043,0.2274,0.2274,4.3723,5e-04
"88",68875,68875,"ENSMUSG00000042066","Tmcc2","transmembrane and coiled-coil domains 2",6e-04,0.1333,0.0043,-0.1756,-0.1756,-4.3478,6e-04
"89",18810,18810,"ENSMUSG00000022565","Plec","plectin",6e-04,0.1334,0.0044,-0.2026,-0.2026,-4.3422,6e-04
"90",108168645,108168645,"","LOC108168645","uncharacterized LOC108168645",6e-04,0.1336,0.0046,1.0218,1.0218,4.3152,6e-04
"91",230848,230848,"ENSMUSG00000060862","Zbtb40","zinc finger and BTB domain containing 40",6e-04,0.1336,0.0045,-0.3936,-0.3936,-4.3186,6e-04
"92",320472,320472,"ENSMUSG00000046442","Ppm1e","protein phosphatase 1E (PP2C domain containing)",6e-04,0.1336,0.0044,0.1532,0.1532,4.3298,6e-04
"93",15357,15357,"ENSMUSG00000021670","Hmgcr","3-hydroxy-3-methylglutaryl-Coenzyme A reductase",6e-04,0.1336,0.0045,0.1949,0.1949,4.3211,6e-04
"94",110886,110886,"ENSMUSG00000055078","Gabra5","gamma-aminobutyric acid type A receptor subunit alpha 5",6e-04,0.1336,0.0044,0.1844,0.1844,4.3326,6e-04
"95",68795,68795,"ENSMUSG00000044308","Ubr3","ubiquitin protein ligase E3 component n-recognin 3",6e-04,0.1352,0.0046,0.1894,0.1894,4.304,6e-04
"96",17155,17155,"ENSMUSG00000003746","Man1a","mannosidase 1, alpha",7e-04,0.1388,0.0047,0.1945,0.1945,4.2861,7e-04
"97",99738,99738,"ENSMUSG00000027895","Kcnc4","potassium voltage gated channel, Shaw-related subfamily, member 4",7e-04,0.1407,0.0047,-0.2031,-0.2031,-4.2744,7e-04
"98",71960,71960,"ENSMUSG00000030739","Myh14","myosin, heavy polypeptide 14",7e-04,0.1464,0.0048,-0.2623,-0.2623,-4.2465,7e-04
"99",21652,21652,"ENSMUSG00000024193","Phf1","PHD finger protein 1",7e-04,0.1464,0.0048,-0.3208,-0.3208,-4.2446,7e-04
"100",66413,66413,"ENSMUSG00000021737","Psmd6","proteasome (prosome, macropain) 26S subunit, non-ATPase, 6",7e-04,0.1467,0.0049,0.1885,0.1885,4.2304,7e-04
"101",234023,234023,"ENSMUSG00000040459","Arglu1","arginine and glutamate rich 1",7e-04,0.1467,0.005,-0.2372,-0.2372,-4.2248,7e-04
"102",76795,76795,"ENSMUSG00000036644","Tbc1d9b","TBC1 domain family, member 9B",7e-04,0.1467,0.0049,-0.1793,-0.1793,-4.2332,7e-04
"103",17263,17263,"ENSMUSG00000021268","Meg3","maternally expressed 3",7e-04,0.1467,0.005,-0.2472,-0.2472,-4.2247,7e-04
"104",56219,56219,"ENSMUSG00000028838","Extl1","exostosin-like glycosyltransferase 1",7e-04,0.1467,0.0051,-0.2473,-0.2473,-4.2199,7e-04
"105",100316903,100316903,"","Gm20605","predicted gene 20605",8e-04,0.1475,0.0051,-0.4138,-0.4138,-4.2116,8e-04
"106",104069,104069,"ENSMUSG00000034891","Sncb","synuclein, beta",8e-04,0.1475,0.0052,-0.1574,-0.1574,-4.2082,8e-04
"107",20541,20541,"ENSMUSG00000054640","Slc8a1","solute carrier family 8 (sodium/calcium exchanger), member 1",8e-04,0.153,0.0052,0.1699,0.1699,4.1855,8e-04
"108",245877,245877,"ENSMUSG00000028849","Map7d1","MAP7 domain containing 1",9e-04,0.1643,0.0053,-0.1815,-0.1815,-4.1457,9e-04
"109",78309,78309,"ENSMUSG00000040327","Cul9","cullin 9",9e-04,0.1668,0.0053,-0.2372,-0.2372,-4.1236,9e-04
"110",219228,219228,"ENSMUSG00000035566","Pcdh17","protocadherin 17",9e-04,0.1668,0.0055,0.1769,0.1769,4.1162,9e-04
"111",70839,70839,"ENSMUSG00000036353","P2ry12","purinergic receptor P2Y, G-protein coupled 12",9e-04,0.1668,0.0054,0.2494,0.2494,4.1223,9e-04
"112",67155,67155,"ENSMUSG00000024921","Smarca2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",9e-04,0.1668,0.0054,-0.1772,-0.1772,-4.1165,9e-04
"113",78771,78771,"ENSMUSG00000021596","Mctp1","multiple C2 domains, transmembrane 1",9e-04,0.1668,0.0055,0.2088,0.2088,4.1122,9e-04
"114",16001,16001,"ENSMUSG00000005533","Igf1r","insulin-like growth factor I receptor",9e-04,0.1668,0.0053,-0.2138,-0.2138,-4.1237,9e-04
"115",13849,13849,"ENSMUSG00000038776","Ephx1","epoxide hydrolase 1, microsomal",9e-04,0.1669,0.0056,0.2572,0.2572,4.1077,9e-04
"116",21399,21399,"ENSMUSG00000033813","Tcea1","transcription elongation factor A (SII) 1",9e-04,0.1675,0.0056,0.1981,0.1981,4.1018,9e-04
"117",12831,12831,"ENSMUSG00000026837","Col5a1","collagen, type V, alpha 1",0.001,0.1694,0.0057,-0.5169,-0.5169,-4.0879,0.001
"118",230872,230872,"ENSMUSG00000040860","Crocc","ciliary rootlet coiled-coil, rootletin",0.001,0.1694,0.0057,-0.3454,-0.3454,-4.0917,0.001
"119",260299,260299,"ENSMUSG00000054793","Cadm4","cell adhesion molecule 4",0.001,0.1704,0.0058,-0.1811,-0.1811,-4.0809,0.001
"120",16514,16514,"ENSMUSG00000096146","Kcnj11","potassium inwardly rectifying channel, subfamily J, member 11",0.001,0.1704,0.006,-0.2416,-0.2416,-4.0583,0.001
"121",223601,223601,"ENSMUSG00000022378","Cyrib","CYFIP related Rac1 interactor B",0.001,0.1704,0.0061,0.1613,0.1613,4.0572,0.001
"122",102693,102693,"ENSMUSG00000048537","Phldb1","pleckstrin homology like domain, family B, member 1",0.001,0.1704,0.0059,-0.2052,-0.2052,-4.0697,0.001
"123",20637,20637,"ENSMUSG00000063511","Snrnp70","small nuclear ribonucleoprotein 70 (U1)",0.001,0.1704,0.0058,-0.2064,-0.2064,-4.0722,0.001
"124",16885,16885,"ENSMUSG00000029674","Limk1","LIM domain kinase 1",0.001,0.1704,0.006,-0.2403,-0.2403,-4.0624,0.001
"125",16835,16835,"ENSMUSG00000032193","Ldlr","low density lipoprotein receptor",0.001,0.1704,0.0059,0.2868,0.2868,4.0689,0.001
"126",12937,12937,"ENSMUSG00000103707","Pcdha6","protocadherin alpha 6",0.0015,0.1721,0.0087,0.8851,0.8851,3.8603,0.0015
"127",56367,56367,"ENSMUSG00000063253","Scoc","short coiled-coil protein",0.0015,0.1721,0.0085,0.1808,0.1808,3.8713,0.0015
"128",224090,224090,"ENSMUSG00000022537","Tmem44","transmembrane protein 44",0.0012,0.1721,0.007,-0.3032,-0.3032,-3.9651,0.0012
"129",100041953,100041953,"ENSMUSG00000061104","Sap18b","Sin3-associated polypeptide 18B",0.0012,0.1721,0.0067,0.3865,0.3865,3.9809,0.0012
"130",68097,68097,"ENSMUSG00000020483","Dynll2","dynein light chain LC8-type 2",0.0016,0.1721,0.0092,-0.1481,-0.1481,-3.8361,0.0016
"131",102635484,102635484,"","Gm32810","predicted gene, 32810",0.0016,0.1721,0.0091,0.959,0.959,3.8366,0.0016
"132",99929,99929,"ENSMUSG00000034640","Tiparp","TCDD-inducible poly(ADP-ribose) polymerase",0.0016,0.1721,0.0094,0.3419,0.3419,3.8286,0.0016
"133",360013,360013,"ENSMUSG00000000631","Myo18a","myosin XVIIIA",0.0011,0.1721,0.0063,-0.1622,-0.1622,-4.0298,0.0011
"134",12919,12919,"ENSMUSG00000021680","Crhbp","corticotropin releasing hormone binding protein",0.0012,0.1721,0.0069,0.2414,0.2414,3.9676,0.0012
"135",19346,19346,"ENSMUSG00000030704","Rab6a","RAB6A, member RAS oncogene family",0.0017,0.1721,0.0096,0.172,0.172,3.8261,0.0017
"136",107831,107831,"ENSMUSG00000034730","Adgrb1","adhesion G protein-coupled receptor B1",0.0014,0.1721,0.0081,-0.18,-0.18,-3.8976,0.0014
"137",20182,20182,"ENSMUSG00000039656","Rxrb","retinoid X receptor beta",0.0016,0.1721,0.0088,-0.2639,-0.2639,-3.848,0.0016
"138",11488,11488,"ENSMUSG00000020926","Adam11","a disintegrin and metallopeptidase domain 11",0.0012,0.1721,0.0069,-0.1825,-0.1825,-3.9679,0.0012
"139",69930,69930,"ENSMUSG00000012640","Zfp715","zinc finger protein 715",0.0015,0.1721,0.0085,0.2312,0.2312,3.8713,0.0015
"140",228357,228357,"ENSMUSG00000027253","Lrp4","low density lipoprotein receptor-related protein 4",0.0014,0.1721,0.008,-0.2413,-0.2413,-3.9009,0.0014
"141",71904,71904,"ENSMUSG00000037348","Paqr7","progestin and adipoQ receptor family member VII",0.0016,0.1721,0.009,-0.2097,-0.2097,-3.8384,0.0016
"142",16765,16765,"ENSMUSG00000028832","Stmn1","stathmin 1",0.0013,0.1721,0.0076,-0.2086,-0.2086,-3.9276,0.0013
